investor_id,fund_id,transaction_date,date_id,amount_inr,transaction_type,state,city_tier,age_group,gender,kyc_status,annual_income_lakh,amfi_code,city
1,39,2022-01-26,25,13585.94,SIP,Rajasthan,T30,20-30,M,Approved,23.7,108932,City_97
1,9,2023-07-30,575,7476.98,LUMPSUM,Himachal Pradesh,B30,50-60,M,Approved,8.3,162763,City_36
1,38,2023-05-23,507,40963.1,LUMPSUM,Odisha,B30,20-30,F,Approved,42.3,157470,City_76
1,36,2025-04-27,1212,14829.74,REDEMPTION,Telangana,T30,60+,F,Approved,9.4,105358,City_42
1,30,2023-08-04,580,21227.18,REDEMPTION,Tamil Nadu,T2,40-50,M,Approved,23.0,148780,City_57
1,14,2023-03-13,436,24369.44,REDEMPTION,Odisha,T3,40-50,M,Approved,4.3,131521,City_36
1,22,2023-05-13,497,17674.71,LUMPSUM,Kerala,T3,50-60,F,Approved,14.8,176463,City_78
1,39,2022-01-28,27,35101.64,REDEMPTION,Andhra Pradesh,T3,60+,F,Approved,13.6,161153,City_40
1,34,2023-07-10,555,40277.58,LUMPSUM,Haryana,T30,20-30,F,Approved,22.6,199813,City_51
2,10,2025-03-07,1161,13211.28,LUMPSUM,Odisha,T30,20-30,F,Approved,8.2,183150,City_65
2,24,2023-04-22,476,43921.49,LUMPSUM,Uttar Pradesh,T3,20-30,F,Approved,6.2,128590,City_88
2,6,2025-06-19,1265,44364.57,REDEMPTION,Himachal Pradesh,T2,50-60,M,Approved,22.6,135449,City_40
2,35,2023-02-21,416,8894.44,REDEMPTION,Odisha,T2,40-50,M,Approved,24.2,177843,City_79
2,26,2025-05-18,1233,35513.72,SIP,Chhattisgarh,T30,60+,F,Approved,11.8,109860,City_21
2,10,2024-08-08,950,36203.83,REDEMPTION,Telangana,B30,50-60,F,Approved,29.4,182536,City_37
2,10,2023-01-15,379,15822.75,REDEMPTION,Odisha,B30,50-60,F,Approved,34.0,179593,City_30
2,29,2022-11-14,317,28483.04,REDEMPTION,Kerala,B30,50-60,F,Approved,5.9,159304,City_45
2,26,2023-04-17,471,42116.18,SIP,Tamil Nadu,T3,20-30,M,Approved,24.4,115824,City_55
2,32,2024-02-25,785,21905.24,REDEMPTION,Odisha,T3,40-50,M,Approved,8.7,165143,City_42
3,10,2022-08-19,230,12529.61,SIP,Gujarat,T30,30-40,F,Approved,2.2,100406,City_57
3,27,2022-07-05,185,23971.32,SIP,Madhya Pradesh,T2,30-40,F,Approved,10.9,145426,City_6
3,29,2025-07-15,1291,33944.54,LUMPSUM,Punjab,T2,60+,F,Approved,21.5,102281,City_82
3,15,2025-07-31,1307,20069.4,REDEMPTION,Himachal Pradesh,T30,30-40,M,Approved,40.1,109083,City_83
3,14,2023-11-01,669,45776.73,LUMPSUM,Gujarat,T2,60+,F,Approved,4.5,196323,City_59
3,28,2023-08-27,603,20876.94,LUMPSUM,Tamil Nadu,T2,40-50,F,Approved,18.0,191082,City_94
3,16,2023-02-10,405,19213.39,SIP,Himachal Pradesh,T2,60+,M,Approved,40.1,148730,City_78
3,8,2022-05-03,122,11770.71,SIP,Assam,B30,50-60,M,Approved,23.8,108351,City_56
3,10,2023-10-26,663,30049.74,LUMPSUM,Gujarat,T30,40-50,M,Approved,23.7,153770,City_27
3,32,2023-01-19,383,16679.45,LUMPSUM,Haryana,T3,20-30,M,Approved,38.6,180176,City_76
3,6,2023-04-24,478,18561.09,REDEMPTION,Uttar Pradesh,B30,30-40,M,Approved,9.3,178052,City_26
4,19,2025-01-14,1109,31387.85,SIP,Uttar Pradesh,T3,50-60,F,Approved,10.6,192756,City_19
4,40,2022-12-28,361,12247.77,SIP,Maharashtra,T30,50-60,F,Approved,36.6,117438,City_87
