fund_id,date_id,date,nav_value,daily_return
1,0,2022-01-01,102.9,0.0
1,1,2022-01-02,101.0,-0.0098
1,2,2022-01-03,102.25,0.0022
1,3,2022-01-04,101.09,-0.0095
1,4,2022-01-05,100.22,-0.0183
1,5,2022-01-06,103.9,0.0174
1,6,2022-01-07,103.6,0.0141
1,7,2022-01-08,103.66,0.0145
1,8,2022-01-09,102.78,0.0056
1,9,2022-01-10,101.02,-0.0119
1,10,2022-01-11,102.8,0.0051
1,11,2022-01-12,104.81,0.0245
1,12,2022-01-13,102.31,-0.0002
1,13,2022-01-14,102.05,-0.0031
1,14,2022-01-15,101.28,-0.011
1,15,2022-01-16,103.71,0.0126
1,16,2022-01-17,101.21,-0.0122
1,17,2022-01-18,102.99,0.0049
1,18,2022-01-19,102.98,0.0045
1,19,2022-01-20,103.19,0.0062
1,20,2022-01-21,104.42,0.0179
1,21,2022-01-22,102.21,-0.004
1,22,2022-01-23,104.05,0.0137
1,23,2022-01-24,104.46,0.0174
1,24,2022-01-25,103.4,0.0067
1,25,2022-01-26,103.16,0.0041
1,26,2022-01-27,101.84,-0.0091
1,27,2022-01-28,103.27,0.0045
1,28,2022-01-29,102.0,-0.0081
1,29,2022-01-30,104.07,0.0118
1,30,2022-01-31,102.33,-0.0055
1,31,2022-02-01,103.19,0.0026
1,32,2022-02-02,103.36,0.004
1,33,2022-02-03,102.0,-0.0095
1,34,2022-02-04,104.18,0.0113
1,35,2022-02-05,103.2,0.0015
1,36,2022-02-06,103.67,0.0057
1,37,2022-02-07,102.03,-0.0104
1,38,2022-02-08,103.81,0.0065
1,39,2022-02-09,102.44,-0.0071
1,40,2022-02-10,103.31,0.001
1,41,2022-02-11,103.14,-0.0008
1,42,2022-02-12,102.43,-0.0081
1,43,2022-02-13,103.76,0.0045
1,44,2022-02-14,104.89,0.0151
1,45,2022-02-15,100.9,-0.0237
1,46,2022-02-16,102.57,-0.0079
1,47,2022-02-17,103.5,0.0008
1,48,2022-02-18,105.0,0.015
1,49,2022-02-19,102.48,-0.0097
1,50,2022-02-20,102.47,-0.0101
1,51,2022-02-21,103.02,-0.005
1,52,2022-02-22,104.72,0.0111
1,53,2022-02-23,102.97,-0.0061
1,54,2022-02-24,103.54,-0.0009
1,55,2022-02-25,102.94,-0.007
1,56,2022-02-26,102.83,-0.0084
1,57,2022-02-27,103.18,-0.0053
1,58,2022-02-28,103.43,-0.0031
1,59,2022-03-01,104.87,0.0104
1,60,2022-03-02,103.51,-0.003
1,61,2022-03-03,104.59,0.0071
1,62,2022-03-04,102.76,-0.0108
1,63,2022-03-05,103.24,-0.0065
1,64,2022-03-06,104.11,0.0015
1,65,2022-03-07,103.55,-0.0041
1,66,2022-03-08,104.49,0.0046
1,67,2022-03-09,103.66,-0.0036
1,68,2022-03-10,102.27,-0.0173
1,69,2022-03-11,105.13,0.0099
1,70,2022-03-12,104.91,0.0074
1,71,2022-03-13,103.39,-0.0074
1,72,2022-03-14,103.73,-0.0045
1,73,2022-03-15,104.16,-0.0007
1,74,2022-03-16,103.6,-0.0063
1,75,2022-03-17,104.44,0.0015
1,76,2022-03-18,103.82,-0.0048
1,77,2022-03-19,104.97,0.006
1,78,2022-03-20,104.77,0.0037
1,79,2022-03-21,104.82,0.0039
1,80,2022-03-22,103.01,-0.0137
1,81,2022-03-23,104.82,0.0033
1,82,2022-03-24,103.48,-0.0099
1,83,2022-03-25,105.99,0.0139
1,84,2022-03-26,103.7,-0.0083
1,85,2022-03-27,102.88,-0.0165
1,86,2022-03-28,103.02,-0.0154
1,87,2022-03-29,102.62,-0.0196
1,88,2022-03-30,102.71,-0.0189
1,89,2022-03-31,104.98,0.0024
1,90,2022-04-01,103.42,-0.0128
1,91,2022-04-02,106.05,0.012
1,92,2022-04-03,105.73,0.0086
1,93,2022-04-04,105.13,0.0026
1,94,2022-04-05,105.38,0.0047
1,95,2022-04-06,103.55,-0.013
1,96,2022-04-07,104.74,-0.002
1,97,2022-04-08,104.37,-0.0058
1,98,2022-04-09,105.53,0.0049
1,99,2022-04-10,104.26,-0.0075
1,100,2022-04-11,105.29,0.002
1,101,2022-04-12,104.98,-0.0012
1,102,2022-04-13,104.72,-0.004
1,103,2022-04-14,106.49,0.0125
1,104,2022-04-15,103.81,-0.0133
1,105,2022-04-16,104.56,-0.0064
1,106,2022-04-17,107.1,0.0175
1,107,2022-04-18,105.52,0.0021
1,108,2022-04-19,105.8,0.0044
1,109,2022-04-20,105.99,0.006
1,110,2022-04-21,103.24,-0.0204
1,111,2022-04-22,105.32,-0.001
1,112,2022-04-23,105.23,-0.0021
1,113,2022-04-24,106.4,0.0086
1,114,2022-04-25,106.77,0.0119
1,115,2022-04-26,106.57,0.0097
1,116,2022-04-27,104.27,-0.0124
1,117,2022-04-28,108.37,0.0261
1,118,2022-04-29,105.95,0.0029
1,119,2022-04-30,104.29,-0.0131
1,120,2022-05-01,104.71,-0.0095
1,121,2022-05-02,105.05,-0.0065
1,122,2022-05-03,106.16,0.0037
1,123,2022-05-04,104.38,-0.0134
1,124,2022-05-05,106.02,0.0017
1,125,2022-05-06,105.86,-0.0
1,126,2022-05-07,104.79,-0.0105
1,127,2022-05-08,105.23,-0.0066
1,128,2022-05-09,104.52,-0.0136
1,129,2022-05-10,105.86,-0.0012
1,130,2022-05-11,107.93,0.018
1,131,2022-05-12,105.68,-0.0036
1,132,2022-05-13,105.9,-0.0018
1,133,2022-05-14,105.44,-0.0064
1,134,2022-05-15,105.7,-0.0043
1,135,2022-05-16,105.06,-0.0106
1,136,2022-05-17,105.16,-0.01
1,137,2022-05-18,105.66,-0.0055
1,138,2022-05-19,105.13,-0.0108
1,139,2022-05-20,105.95,-0.0034
1,140,2022-05-21,106.75,0.0039
1,141,2022-05-22,106.22,-0.0015
1,142,2022-05-23,106.3,-0.001
1,143,2022-05-24,105.35,-0.0102
1,144,2022-05-25,107.46,0.0093
1,145,2022-05-26,106.77,0.0025
1,146,2022-05-27,106.9,0.0034
1,147,2022-05-28,107.46,0.0084
1,148,2022-05-29,106.59,-0.0001
1,149,2022-05-30,107.66,0.0097
1,150,2022-05-31,108.38,0.0161
1,151,2022-06-01,107.58,0.0083
1,152,2022-06-02,105.85,-0.0082
1,153,2022-06-03,108.29,0.0144
1,154,2022-06-04,107.53,0.007
1,155,2022-06-05,106.19,-0.0059
1,156,2022-06-06,106.02,-0.0078
1,157,2022-06-07,108.41,0.0142
1,158,2022-06-08,108.28,0.0127
1,159,2022-06-09,106.83,-0.0011
1,160,2022-06-10,108.36,0.0129
1,161,2022-06-11,106.92,-0.0009
1,162,2022-06-12,106.4,-0.006
1,163,2022-06-13,106.99,-0.0008
1,164,2022-06-14,107.71,0.0056
1,165,2022-06-15,107.54,0.0037
1,166,2022-06-16,106.97,-0.0019
1,167,2022-06-17,107.71,0.0047
1,168,2022-06-18,109.72,0.0232
1,169,2022-06-19,107.2,-0.0007
1,170,2022-06-20,106.19,-0.0104
1,171,2022-06-21,107.01,-0.0031
1,172,2022-06-22,108.6,0.0114
1,173,2022-06-23,107.0,-0.0037
1,174,2022-06-24,107.93,0.0046
1,175,2022-06-25,107.08,-0.0036
1,176,2022-06-26,108.24,0.0069
1,177,2022-06-27,106.06,-0.0137
1,178,2022-06-28,108.29,0.0068
1,179,2022-06-29,106.65,-0.0087
1,180,2022-06-30,106.38,-0.0116
1,181,2022-07-01,108.41,0.007
1,182,2022-07-02,107.4,-0.0027
1,183,2022-07-03,106.73,-0.0093
1,184,2022-07-04,108.5,0.0069
1,185,2022-07-05,108.09,0.0028
1,186,2022-07-06,107.55,-0.0025
1,187,2022-07-07,107.47,-0.0036
1,188,2022-07-08,108.47,0.0054
1,189,2022-07-09,107.15,-0.0071
1,190,2022-07-10,108.9,0.0088
1,191,2022-07-11,106.05,-0.0179
1,192,2022-07-12,108.13,0.001
1,193,2022-07-13,108.43,0.0035
1,194,2022-07-14,109.97,0.0175
